Race_and_Ethnicity,Sex,S&E_Fields,Broad_Fields,Detailed_Fields,Year,Number
Hispanic or Latino,Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,19
Hispanic or Latino,Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,212
Hispanic or Latino,Male,Science and engineering,Life sciences,Health sciences,2018,36
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,64
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,23
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,51
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,30
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,41
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Psychology,2018,104
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Anthropology,2018,7
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Economics,2018,22
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Political science and government,2018,21
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Sociology,2018,21
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,49
Hispanic or Latino,Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,16
Hispanic or Latino,Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,28
Hispanic or Latino,Male,Science and engineering,Engineering,Chemical engineering,2018,26
Hispanic or Latino,Male,Science and engineering,Engineering,Civil engineering,2018,12
Hispanic or Latino,Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,18
Hispanic or Latino,Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3
Hispanic or Latino,Male,Science and engineering,Engineering,Materials science engineering,2018,26
Hispanic or Latino,Male,Science and engineering,Engineering,Mechanical engineering,2018,31
Hispanic or Latino,Male,Science and engineering,Engineering,Other engineering,2018,48
Hispanic or Latino,Male,Non-science and engineering,Education,Education administration,2018,14
Hispanic or Latino,Male,Non-science and engineering,Education,Education research,2018,41
Hispanic or Latino,Male,Non-science and engineering,Education,Teacher education,2018,2
Hispanic or Latino,Male,Non-science and engineering,Education,Teaching fields,2018,10
Hispanic or Latino,Male,Non-science and engineering,Education,Other education,2018,12
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,47
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,History,2018,35
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Letters,2018,29
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,66
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,20
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Communication,2018,5
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,13
Hispanic or Latino,Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,30
Hispanic or Latino,Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,287
Hispanic or Latino,Female,Science and engineering,Life sciences,Health sciences,2018,78
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,42
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,26
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,15
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,13
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,10
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Psychology,2018,224
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Anthropology,2018,17
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Economics,2018,4
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Political science and government,2018,14
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Sociology,2018,32
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,78
Hispanic or Latino,Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,1
Hispanic or Latino,Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,20
Hispanic or Latino,Female,Science and engineering,Engineering,Chemical engineering,2018,9
Hispanic or Latino,Female,Science and engineering,Engineering,Civil engineering,2018,6
Hispanic or Latino,Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,5
Hispanic or Latino,Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3
Hispanic or Latino,Female,Science and engineering,Engineering,Materials science engineering,2018,8
Hispanic or Latino,Female,Science and engineering,Engineering,Mechanical engineering,2018,4
Hispanic or Latino,Female,Science and engineering,Engineering,Other engineering,2018,16
Hispanic or Latino,Female,Non-science and engineering,Education,Education administration,2018,46
Hispanic or Latino,Female,Non-science and engineering,Education,Education research,2018,109
Hispanic or Latino,Female,Non-science and engineering,Education,Teacher education,2018,7
Hispanic or Latino,Female,Non-science and engineering,Education,Teaching fields,2018,39
Hispanic or Latino,Female,Non-science and engineering,Education,Other education,2018,22
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,59
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,History,2018,32
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Letters,2018,45
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,35
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,11
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Communication,2018,7
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,25
Hispanic or Latino,Unknown sex,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,1
Hispanic or Latino,Unknown sex,Science and engineering,Psychology and social sciences,Psychology,2018,
Hispanic or Latino,Unknown sex,Non-science and engineering,Education,Teaching fields,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,3
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,3
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,3
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,2
