Race_and_Ethnicity,Sex,S&E_Fields,Broad_Fields,Detailed_Fields,Year,Number
Hispanic or Latino,Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,19.0
Hispanic or Latino,Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,212.0
Hispanic or Latino,Male,Science and engineering,Life sciences,Health sciences,2018,36.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,64.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,23.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,51.0
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,30.0
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,41.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Psychology,2018,104.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Anthropology,2018,7.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Economics,2018,22.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Political science and government,2018,21.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Sociology,2018,21.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,49.0
Hispanic or Latino,Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,16.0
Hispanic or Latino,Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,28.0
Hispanic or Latino,Male,Science and engineering,Engineering,Chemical engineering,2018,26.0
Hispanic or Latino,Male,Science and engineering,Engineering,Civil engineering,2018,12.0
Hispanic or Latino,Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,18.0
Hispanic or Latino,Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3.0
Hispanic or Latino,Male,Science and engineering,Engineering,Materials science engineering,2018,26.0
Hispanic or Latino,Male,Science and engineering,Engineering,Mechanical engineering,2018,31.0
Hispanic or Latino,Male,Science and engineering,Engineering,Other engineering,2018,48.0
Hispanic or Latino,Male,Non-science and engineering,Education,Education administration,2018,14.0
Hispanic or Latino,Male,Non-science and engineering,Education,Education research,2018,41.0
Hispanic or Latino,Male,Non-science and engineering,Education,Teacher education,2018,2.0
Hispanic or Latino,Male,Non-science and engineering,Education,Teaching fields,2018,10.0
Hispanic or Latino,Male,Non-science and engineering,Education,Other education,2018,12.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,47.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,History,2018,35.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Letters,2018,29.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,66.0
